Description,ASIN,Manufacturer,Product Info
"['Care Instructions: Wipe with Damp Cloth', 'Fit Type: regular', 'Handcrafted with care and made up of premium quality robust material', 'Padded laptop compartment fits up to 15.6"" Laptop, Tablet Sleeve; Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side', 'Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Gadget Pocket; Internal Organiser', 'GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty']",3600EBP1BLK,,[]
"['Fit Type: regular', 'Material: High Density Nylon Water Resistant Fabric. Size: 48 x 32 x 18 cm. Volume: 32 litre.', 'Anti-theft backpack: This backpack has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the laptop, making this totally theft proof. There are secret pockets on the shoulder strap and on the sides of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc', 'Multipurpose laptop compartment for daily office use, college or travel etc. 180 degrees opening. Have enough space for carrying books or one day cloth. Front stash pocket for small book, documents, goggle, medicines etc', 'Charging on the go: now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple connect your power bank to the wire inside the bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. Note: We do not provide power bank with this bag', 'Suitable for 15.6 inch laptop, tablet, power bank, mobiles etc. 12 months warranty.']",B08SVV5HZY,,"[{'Product': 'Comes with a USB charging port', 'Additional Info': 'The laptop backpack offers a USB charging port, great for charging your phone or other electronic devices while walking or traveling.'}, {'Product': 'Anti-theft System', 'Additional Info': ""Your valuable belongings will be protected from theft by the bag's well-managed anti-theft system which comprises hidden zippers and pockets.""}, {'Product': 'Spacious Compartments', 'Additional Info': 'The bag offers a large carrying capacity for many different items. To make carrying it easier, it has a robust and sturdy body.'}]"
,SB-002-Mahogany Brown,,"At Spenz Bags, we provide the highest quality backpacks with the most reasonable cost so every customer can find a backpack they actually love to carry. To create products that inspire people to get out and live passionate lives; exploring, creating, and living life in the moment."
,Sling Bag,,"Do you ever feel like you don't have enough pockets to carry all of your essentials? Are you tired of your belongings getting lost in a big, bulky bag? If so, then the Half Moon Men's Urban Explorer Faux Leather Sling Bag is the perfect solution for you! This stylish and modern bag is made of high-quality faux leather and features a sleek, minimalist design. It has three compartments, including a main compartment, a front compartment, and a back compartment, so you can easily organize your belongings. The main compartment is large enough to fit a laptop, books, or other essentials. The front compartment is perfect for storing smaller items, such as a wallet, phone, or keys. The back compartment is ideal for storing valuables, such as a passport or ID. The bag also features a adjustable strap, so you can wear it comfortably over your shoulder or across your chest."
"['2 Spacious Main Compartments 1 Front Vertical Slip In Pocket Rain Cover 15.6"" Laptop Comaptible Secret Pocket on the side Organizer with Key Holder Both Side Water Bottle Pocket Built to last 10 MM shoulder straps 1 slip in pocket in the front compartment']",LPBPCAM4GRY,,This product will be an excellent pick for you. It ensures an easy maintenance
,MWTB025PR,,[]
,SB-002-Mahogany Brown,,"At Spenz Bags, we provide the highest quality backpacks with the most reasonable cost so every customer can find a backpack they actually love to carry. To create products that inspire people to get out and live passionate lives; exploring, creating, and living life in the moment."
"['Comes with 19 litres Capacity and Fit Up to 13.3 inch Laptop', 'Made with Polyester material for longer durability', '1 Compartment with 1 Outer Pocket', 'Care instruction : Machine wash', '1 year manufaturing warranty']",B0BX9P4MJ7,"EUME Lifestyle Pvt Ltd, Customer Care Email : customercare@eumeworld.com, Customer Care Contact : 9321366003","EUME IPL Team Drawstring Backpack. Multipurpose: suitable for business, school, hiking, travelling, camping, sports, school. To meet all your travel needs. Durable: made with superior Polyester fabric material and ensured for maximum durability and making the texture become ultra-durable and better ventilation not easy to deformation. You can to adjust the length of the shoulder straps if you need. Well-made and designed: it's attractive and functional looking. The whole backpack were designed and built very well"
"[""1.GENUINE LEATHER: If you love leather, timeless design, fashionable and durable bags, you'll surely love WILDHORN'S Leather Bags.Crafted from leather this bag is meticulously crafted into a adorable, durable & classic masterpiece by highly skilled professionals.Perfect for office, meeting, working, travelling and other occasions"", '2.FUNCTIONAL & STYLISH: Functional design makes it spacious enough to carry all your daily essentials.It has 1 Main Compartment with 2 sub compartments ,dedicated padded compartment for 13.3 inch laptop. Exterior zip pocket with flap closure and 1 back zip pocket I Dimension : L-14 inch W-3 inch H-11 inch', '3.ART OF CRAFTSMANSHIP:Designed by highly trained designers with latest trend analysis. This bag reflects a perfect balance between utility,design and convenience.The most distinguishing feature of this product is that the leather may have wrinkles,scratches,shade,grain and natural markings that are enherent characteristics and reflect the natural beauty of the hide.', ""4.PERFECT COMPANION : This bag is preferable for all age groups and can be carried on all occasions. A Perfect companion whether it be a Student,Workaholic/Shopaholic or Traveller,this bag serves all purpose-need. This perfect bag is designed for all-day comfort and can be a perfect present for Men. Father's day, Anniversary,Graduation Day,Friendship Day or birthday, this elegant bag is a great gift idea for Men."", '5.NOTE : Product colour may slightly vary due to photographic lighting sources or your monitor settings. This bag has been made out of leather with durable lining, trims and it’s a natural thing where colour variation is never under control.']",B07M9NKYVK,,"[{'Product': 'HANDMADE', 'Additional Info': 'Every product is handmade by the skilled artisans that will devote all their heart into making best quality authentic piece. We only use reliable hardware, high quality YKK zippers that will last for many years to come. Strong stitches assure the extra strength of the product. Every single detail in your leather good is made from the best quality materials.'}, {'Product': 'FULL GRAIN LEATHER', 'Additional Info': 'Exterior made from full grain cowhide which is the highest quality leather. Over time, full grain leather will look even better, get vintage-effect and develop a beautiful patina from being handled.'}, {'Product': 'FINEST DETAILS', 'Additional Info': 'Many say, “Your style is your identity”, and we agree. That’s why we reinforced each long leather swath with abundant stitching, then adorned it with premium details like real brass accoutrements, high quality zippers, and a silky adjustable strap, alerting anyone in the know that you’re a person who values superior function, timeless fashion, and an impeccable attention to detail.'}, {'Product': 'MADE WITH LOVE', 'Additional Info': ""WildHorn is a handmade leather goods' brand built on love, integrity and respect.""}, {'Product': 'WEAR WITH CONFIDENCE', 'Additional Info': 'Each and every product goes through quality check before dispatching, to make sure you will receive the best quality piece. After quality check process every product gets handwritten and wax stamped certificate and leather care instruction.'}, {'Product': 'YEARS OF EXPERIENCE', 'Additional Info': 'A Wildhorn bag is not an accessory of the season, but a companion for life. Its skin is an empty canvas that will get scarred throughout the years, and that’s what will make it truly beautiful and unique - the marks from your life and experiences that tell your personal story.'}]"
,BUSSAUVE00101,,"Edgy, enduring, eclectic bags for the journey called life"
,Deluxe,,"[{'Product': 'Premium Fabric', 'Additional Info': 'Made of high-quality Polyester fabric, water-resistant, tear and wear-resistant, reinforced straps, neat stitches, durable buckle, smooth zippers. All together ensure long-term use. This is the backpack you can take with you for years and longer.'}, {'Product': 'Air Flow Back Panel & Ergonomic design', 'Additional Info': 'Ergonomic design fits back structure, protecting your back while you are carrying a heavy load. Widened and adjustable straps help release burdens on the shoulder. Breathable mesh padding gives you a comfortable .'}, {'Product': 'Max Volume Capacity', 'Additional Info': '3 spacious Compartments for books and clothes , laptop Padded section Upto 16 inch, Internal Pocket, Internal Zipper and mesh organizer pocket, 2 sides Bottle / umbrella pocket. Capacity : 33 liters'}, {'Product': 'Made From High Quality Fabric', 'Additional Info': ''}, {'Product': 'Premium quality Product', 'Additional Info': 'Buy for higher quality products. Made from High Quality fabric.'}, {'Product': 'Made In India', 'Additional Info': 'This Product is made in INDIA By “The INDIAN KARIGAR “ and pass though the many quality checks and tests'}]"
